date,ticker,open,high,low,close,adj_close,ajexdi,volume
2024-12-30,AMZN,220.06,222.9972,218.43,221.3,221.3000,1,28238240
2024-12-30,GOOGL,189.8,192.55,189.12,191.24,191.2400,1,14221010
2024-12-30,JNJ,144.84,144.88,142.95,143.34,143.3400,1,6254829
2024-12-30,JPM,238.77,240.84,237.11,239.32,239.3200,1,5722449
2024-12-30,META,588.75,596.9399,585.58,591.24,591.2400,1,7003527
2024-12-30,MSFT,426.06,427.55,421.9,424.83,424.8300,1,13126620
2024-12-30,NVDA,134.83,140.27,134.02,137.49,137.4900,1,166965400
2024-12-30,WMT,90.73,91.07,90.13,90.57,90.5700,1,9783085
2024-12-30,XOM,106.3,106.56,105.51,105.76,105.7600,1,11072190
2024-12-31,AAPL,252.44,253.28,249.43,250.42,250.4200,1,39457630
2024-12-31,AMZN,222.965,223.2299,218.94,219.39,219.3900,1,24745140
2024-12-31,GOOGL,191.075,191.96,188.51,189.3,189.3000,1,17430280
2024-12-31,JNJ,143.76,144.67,143.3098,144.62,144.6200,1,5810589
2024-12-31,JPM,240.05,241.4393,239.03,239.71,239.7100,1,4866935
2024-12-31,META,592.265,593.97,583.85,585.51,585.5100,1,6004887
2024-12-31,MSFT,426.1,426.73,420.66,421.5,421.5000,1,13227380
2024-12-31,NVDA,138.03,138.07,133.83,134.29,134.2900,1,155183900
2024-12-31,WMT,90.57,90.94,90.055,90.35,90.3500,1,11260120
2024-12-31,XOM,106.17,107.9,105.78,107.57,107.5700,1,12365420
2025-01-02,AAPL,248.93,249.1,241.8201,243.85,243.8500,1,55516370
2025-01-02,AMZN,222.03,225.15,218.19,220.22,220.2200,1,33843780
2025-01-02,GOOGL,190.65,192,187.5,189.43,189.4300,1,20332140
2025-01-02,JNJ,145.23,145.77,143.78,144.02,144.0200,1,6044937
2025-01-02,JPM,240.92,243.276,239.45,240,240.0000,1,9212172
2025-01-02,META,589.72,604.91,587.82,599.24,599.2400,1,12142550
2025-01-02,MSFT,425.53,426.07,414.85,418.58,418.5800,1,16837230
2025-01-02,NVDA,136,138.88,134.63,138.31,138.3100,1,195002900
2025-01-02,WMT,89.98,90.6,89.52,90,90.0000,1,14795890
